code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SZ000828,东莞控股,11.42,12.15,15.56,17.27,16.46,0.3221957315233954,11.764,1.136,2.784,9.277955394763685
SZ002327,富安娜,15.73,14.27,14.17,16.19,17.05,0.21491630075966145,11.738,1.839,7.624,9.270528235815302
SH600007,中国国贸,12.4,10.59,13.52,11.67,10.16,0.3213070777517868,15.573,1.956,3.474,9.239056346753996
SZ002236,大华股份,15.58,22.09,22.74,22.16,25.47,0.45137064825123396,18.262,1.943,1.659,9.075142454605192
SZ002014,永新股份,17.01,15.9,16.19,15.17,12.78,0.34929746259792166,15.702,2.573,4.651,9.07042458629474
SH603319,湘油泵,13.91,19.2,12.29,13.36,17.1,0.44288151853300667,20.527,2.277,1.701,8.920530166171382
SZ002802,洪汇新材,14.38,15.91,15.0,12.04,12.49,0.16956150275905638,23.92,3.205,2.032,8.918269431438125
SZ002016,世荣兆业,16.21,22.91,30.45,32.04,44.17,0.32411518550465124,12.461,1.215,4.38,8.808721314501243
SZ300396,迪瑞医疗,12.4,16.92,16.07,15.07,14.44,0.2101665858648645,32.868,4.245,1.284,8.748717553851769
SH603886,元祖股份,21.67,19.77,17.17,19.78,18.19,0.48047781062130424,16.498,3.057,4.755,8.748483729542976
SH601799,星宇股份,14.64,21.76,17.16,14.55,12.09,0.3414247943182371,39.481,4.59,0.825,8.664095343329702
SH600085,同仁堂,11.99,10.82,10.34,12.83,12.55,0.33503726015317575,51.216,5.895,0.593,8.607339976569822
SZ002803,吉宏股份,12.5,34.4,28.63,35.43,17.04,0.34922891237726544,36.0,3.093,0.0,8.591666666666667
SH601233,桐昆股份,23.85,13.71,16.5,14.73,14.97,0.48339336177238534,11.449,0.977,2.237,8.584947375229277
SZ002007,华兰生物,16.47,23.39,19.89,22.36,18.48,0.21436603820479322,35.89,4.002,0.892,8.47295436723321
SZ002749,国光股份,15.52,14.9,19.66,26.74,22.1,0.2829635184384413,21.909,2.784,2.41,8.4076666684924
SH600167,联美控股,12.1,20.64,23.67,17.48,17.84,0.33543572283454554,15.434,1.426,2.034,8.372857713100945
SZ002757,南兴股份,13.61,14.14,12.23,12.75,13.18,0.3480926555214533,17.451,1.867,2.736,8.3264153050255
SZ002818,富森美,16.0,14.66,16.92,16.76,16.25,0.13701953926738047,11.391,1.64,9.516,8.307091226406815
SZ000513,丽珠集团,14.32,14.86,12.02,10.15,51.17,0.3603129452404904,17.855,2.432,3.72,8.293794500140017
SZ002025,航天电器,11.94,13.47,14.08,14.23,13.81,0.34696195300239757,54.756,5.262,0.309,8.292947763751917
SH600161,天坛生物,11.11,15.1,16.72,15.51,41.52,0.11321565559175988,47.292,4.456,0.36,8.17815244185063
